id_vehicule,marque,modele,annee_circulation,date_circulation,carburant,usage,km_actuel,km_moyen_annuel,date_derniere_revision,km_derniere_revision,jours_depuis_derniere_revision,km_depuis_derniere_revision,nb_revisions_effectuees,intervalle_recommande_jours,intervalle_recommande_km,condition_vehicule,nb_pannes_historique,age_vehicule,taux_utilisation_km,taux_utilisation_jours,revisions_par_an
VEH00043,Hyundai,Tucson,2013,2013-05-11,Essence,Personnel,209085,18476,2025-10-20,202551,51,6534,8,365,15000,6,0,11,43.56,13.97,0.73
VEH00044,BMW,Série 5,2017,2017-07-02,Électrique,Personnel,107322,14777,2025-05-15,86183,209,21139,8,730,30000,8,0,7,70.46,28.63,1.14
VEH00045,Mercedes,GLC,2023,2023-07-18,Essence,Personnel,32778,25895,2025-08-10,14780,122,17998,1,365,15000,10,0,1,119.99,33.42,1.0
VEH00046,Audi,Q2,2012,2012-08-05,Diesel,Professionnel,346431,28390,2025-11-17,331520,23,14911,9,328,16000,7,0,12,93.19,7.01,0.75
VEH00047,Citroën,C3,2014,2014-07-11,Hybride,Personnel,153799,14935,2025-06-16,140740,177,13059,11,365,15000,7,1,10,87.06,48.49,1.1
VEH00048,Renault,Talisman,2018,2018-01-12,Essence,Personnel,99733,15347,2025-10-26,76377,45,23356,5,365,15000,9,0,6,155.71,12.33,0.83
VEH00049,Volkswagen,Polo,2017,2017-11-04,Essence,Personnel,185931,26480,2025-04-06,161011,248,24920,7,365,15000,6,0,7,166.13,67.95,1.0
VEH00050,Kia,Ceed,2014,2014-02-19,Électrique,Personnel,90521,8841,2025-02-09,66326,304,24195,12,730,30000,7,0,10,80.65,41.64,1.2
VEH00051,Volkswagen,Golf,2021,2021-05-28,Hybride,Personnel,82005,27674,2024-10-19,61461,417,20544,2,365,15000,8,0,3,136.96,114.25,0.67
VEH00052,BMW,Série 1,2023,2023-07-27,Diesel,Professionnel,22791,24062,2025-04-23,8923,231,13868,1,328,16000,9,0,1,86.68,70.43,1.0
VEH00053,Nissan,Juke,2019,2019-09-25,Essence,Professionnel,123831,23843,2025-04-21,102417,233,21414,5,328,12000,8,1,5,178.45,71.04,1.0
VEH00054,Volkswagen,Arteon,2017,2017-10-20,Diesel,Personnel,212474,29895,2025-06-11,209534,182,2940,6,365,20000,6,0,7,14.7,49.86,0.86
VEH00055,Mercedes,Classe E,2021,2021-05-18,Essence,Personnel,30460,8332,2025-08-25,25655,107,4805,3,365,15000,9,0,3,32.03,29.32,1.0
VEH00056,Hyundai,Kona,2017,2017-01-03,Essence,Professionnel,124117,17641,2025-05-07,99449,217,24668,6,328,12000,6,1,7,205.57,66.16,0.86
VEH00057,Hyundai,Santa Fe,2015,2015-06-23,Essence,Professionnel,207250,22868,2025-06-27,197013,166,10237,8,328,12000,8,1,9,85.31,50.61,0.89
VEH00058,Hyundai,i30,2013,2013-04-24,Électrique,Personnel,264056,23866,2024-11-25,242737,380,21319,9,730,30000,5,0,11,71.06,52.05,0.82
VEH00059,Volkswagen,Tiguan,2012,2012-05-01,Électrique,Personnel,305097,25502,2025-07-13,301606,150,3491,13,730,30000,7,0,12,11.64,20.55,1.08
VEH00060,Seat,Ibiza,2019,2019-05-16,Électrique,Personnel,122646,23686,2025-06-09,114605,184,8041,6,730,30000,8,0,5,26.8,25.21,1.2
VEH00061,Opel,Insignia,2020,2020-01-05,Électrique,Personnel,57773,12888,2025-06-28,52982,165,4791,4,730,30000,9,1,4,15.97,22.6,1.0
VEH00062,Volkswagen,Arteon,2018,2018-07-15,Électrique,Personnel,136913,22507,2024-09-16,115629,450,21284,6,730,30000,7,0,6,70.95,61.64,1.0
VEH00063,Kia,Ceed,2020,2020-04-09,Essence,Personnel,116890,29640,2025-09-11,107031,90,9859,2,365,15000,9,0,4,65.73,24.66,0.5
VEH00064,Mercedes,Classe A,2013,2013-05-23,Essence,Personnel,194342,17264,2025-10-25,169818,46,24524,12,365,15000,7,0,11,163.49,12.6,1.09
VEH00065,Peugeot,2008,2013,2013-11-05,Essence,Personnel,183074,16704,2025-10-25,179120,46,3954,12,365,15000,7,0,11,26.36,12.6,1.09
VEH00066,Hyundai,Tucson,2021,2021-07-09,Essence,Personnel,79044,24399,2025-03-23,62700,262,16344,2,365,15000,7,0,3,108.96,71.78,0.67
VEH00067,Peugeot,308,2020,2020-10-19,Hybride,Personnel,36131,8679,2025-02-08,32813,305,3318,4,365,15000,7,0,4,22.12,83.56,1.0
VEH00068,Opel,Grandland,2020,2020-08-03,Essence,Personnel,96304,23401,2025-05-05,83383,219,12921,3,365,15000,7,1,4,86.14,60.0,0.75
VEH00069,Nissan,X-Trail,2023,2023-09-02,Essence,Flotte,21345,22903,2025-06-22,11075,171,10270,1,310,10500,10,0,1,97.81,55.16,1.0
VEH00070,Nissan,Leaf,2017,2017-07-02,Hybride,Personnel,104516,14146,2025-05-29,82114,195,22402,8,365,15000,8,1,7,149.35,53.42,1.14
VEH00071,Toyota,Camry,2017,2017-02-01,Hybride,Personnel,207483,28644,2024-10-17,197642,419,9841,4,365,15000,6,0,7,65.61,114.79,0.57
VEH00072,Seat,Ibiza,2017,2017-02-21,Diesel,Personnel,96480,13045,2024-11-29,84917,376,11563,8,365,20000,6,1,7,57.82,103.01,1.14
VEH00073,Audi,A4,2024,2024-10-17,Essence,Professionnel,0,12473,2025-07-12,0,151,15596,1,328,12000,10,0,0,129.97,46.04,1.0
VEH00074,Seat,Tarraco,2019,2019-11-16,Essence,Personnel,68661,12869,2025-02-28,50791,285,17870,5,365,15000,6,0,5,119.13,78.08,1.0
VEH00075,Volkswagen,Touran,2013,2013-10-13,Hybride,Professionnel,175913,15653,2025-11-08,163487,32,12426,13,328,12000,8,0,11,103.55,9.76,1.18
VEH00076,Citroën,Berlingo,2010,2010-03-17,Essence,Flotte,385185,27339,2025-10-10,368758,61,16427,9,310,10500,6,0,14,156.45,19.68,0.64
VEH00077,Citroën,C3,2017,2017-05-11,Électrique,Professionnel,202466,28422,2025-01-02,197835,342,4631,8,657,24000,8,0,7,19.3,52.05,1.14
VEH00078,Kia,Niro,2023,2023-09-02,Hybride,Personnel,26353,28232,2025-08-02,3672,130,22681,1,365,15000,10,0,1,151.21,35.62,1.0
VEH00079,Kia,Picanto,2017,2017-03-23,Hybride,Personnel,122158,17812,2025-11-07,109529,33,12629,6,365,15000,8,0,7,84.19,9.04,0.86
VEH00080,Opel,Insignia,2022,2022-03-06,Diesel,Personnel,25765,13736,2025-01-22,11230,322,14535,2,365,20000,8,0,2,72.68,88.22,1.0
VEH00081,Mercedes,GLC,2014,2014-11-01,Essence,Personnel,234162,23245,2024-12-19,214252,356,19910,9,365,15000,5,0,10,132.73,97.53,0.9
VEH00082,Audi,Q2,2014,2014-08-28,Essence,Personnel,179253,17899,2025-05-18,161420,206,17833,9,365,15000,6,1,10,118.89,56.44,0.9
VEH00083,Renault,Arkana,2020,2020-07-09,Électrique,Professionnel,39332,8265,2024-12-14,35725,361,3607,4,657,24000,7,0,4,15.03,54.95,1.0
VEH00084,Volkswagen,T-Roc,2022,2022-06-08,Hybride,Professionnel,57835,28860,2025-01-17,47623,327,10212,2,328,12000,7,0,2,85.1,99.7,1.0
VEH00085,Skoda,Fabia,2014,2014-08-02,Essence,Personnel,272887,26991,2024-11-21,266581,384,6306,11,365,15000,6,0,10,42.04,105.21,1.1
VEH00086,BMW,Série 5,2018,2018-05-27,Électrique,Personnel,81556,13391,2024-10-04,63767,432,17789,7,730,30000,6,0,6,59.3,59.18,1.17
VEH00087,Kia,Ceed,2023,2023-11-24,Hybride,Personnel,27153,21022,2025-05-27,22194,197,4959,1,365,15000,8,0,1,33.06,53.97,1.0
VEH00088,Nissan,Juke,2019,2019-07-27,Essence,Personnel,147701,28923,2025-10-06,123588,65,24113,6,365,15000,9,0,5,160.75,17.81,1.2
VEH00089,Peugeot,508,2023,2023-08-23,Essence,Flotte,25539,17902,2025-05-05,19716,219,5823,1,310,10500,7,0,1,55.46,70.65,1.0
VEH00090,Skoda,Kodiaq,2012,2012-07-15,Électrique,Personnel,249869,20157,2024-11-15,225047,390,24822,13,730,30000,5,1,12,82.74,53.42,1.08
VEH00091,Toyota,Aygo,2016,2016-05-02,Électrique,Professionnel,161687,20141,2025-04-17,145116,237,16571,6,657,24000,6,2,8,69.05,36.07,0.75
VEH00092,Nissan,Juke,2010,2010-07-09,Essence,Personnel,198067,14219,2024-09-22,181167,444,16900,15,365,15000,4,3,14,112.67,121.64,1.07
VEH00093,Citroën,C3 Aircross,2013,2013-02-27,Hybride,Personnel,288154,26160,2025-02-03,279078,310,9076,12,365,15000,5,0,11,60.51,84.93,1.09
VEH00094,Citroën,C4,2018,2018-05-26,Essence,Personnel,81103,13717,2024-12-27,78259,348,2844,7,365,15000,6,0,6,18.96,95.34,1.17
VEH00095,Citroën,C4 Cactus,2016,2016-09-04,Diesel,Personnel,85458,10082,2025-04-15,71595,239,13863,8,365,20000,4,0,8,69.32,65.48,1.0
VEH00096,Kia,Sorento,2014,2014-08-21,Diesel,Personnel,88196,9020,2025-03-30,73036,255,15160,11,365,20000,6,0,10,75.8,69.86,1.1
VEH00097,Citroën,C3,2012,2012-05-20,Diesel,Personnel,351518,28744,2025-02-23,338863,290,12655,10,365,20000,5,2,12,63.28,79.45,0.83
VEH00098,Kia,Picanto,2023,2023-11-21,Électrique,Personnel,26588,26066,2025-04-24,9792,230,16796,1,730,30000,9,0,1,55.99,31.51,1.0
VEH00099,BMW,X3,2015,2015-11-09,Essence,Professionnel,181885,20265,2024-12-14,164345,361,17540,6,328,12000,7,0,9,146.17,110.06,0.67
VEH00100,Kia,Ceed,2018,2018-01-19,Essence,Personnel,164614,26402,2025-06-15,140660,178,23954,6,365,15000,9,0,6,159.69,48.77,1.0
VEH00101,Hyundai,i20,2014,2014-10-10,Essence,Professionnel,193917,19522,2025-02-08,175291,305,18626,8,328,12000,7,0,10,155.22,92.99,0.8
VEH00102,BMW,Série 1,2022,2022-05-19,Électrique,Professionnel,34850,15410,2024-09-24,14469,442,20381,2,657,24000,6,0,2,84.92,67.28,1.0
VEH00103,Skoda,Kamiq,2010,2010-03-09,Essence,Personnel,256303,18124,2025-06-04,254103,189,2200,15,365,15000,7,1,14,14.67,51.78,1.07
VEH00104,Peugeot,508,2018,2018-04-13,Diesel,Professionnel,134974,21757,2025-06-09,127817,184,7157,6,328,16000,6,0,6,44.73,56.1,1.0
VEH00105,Renault,Megane,2012,2012-10-02,Diesel,Personnel,129534,10673,2025-04-18,105844,236,23690,11,365,20000,5,1,12,118.45,64.66,0.92
VEH00106,BMW,X3,2011,2011-05-22,Essence,Personnel,361627,27435,2025-03-06,337767,279,23860,16,365,15000,7,2,13,159.07,76.44,1.23
VEH00107,Kia,Ceed,2022,2022-05-10,Hybride,Personnel,36467,18751,2025-11-27,18169,13,18298,1,365,15000,10,0,2,121.99,3.56,0.5
VEH00108,Seat,Arona,2011,2011-07-28,Électrique,Professionnel,126165,9386,2025-11-21,109100,19,17065,13,657,24000,7,0,13,71.1,2.89,1.0
VEH00109,Audi,Q3,2011,2011-07-01,Diesel,Professionnel,242161,18642,2024-10-16,219907,420,22254,11,328,16000,4,0,13,139.09,128.05,0.85
VEH00110,Audi,A6,2016,2016-09-03,Essence,Professionnel,169827,20968,2024-11-14,156702,391,13125,5,328,12000,6,0,8,109.38,119.21,0.62
VEH00111,Volkswagen,Arteon,2015,2015-06-24,Essence,Personnel,261760,29149,2025-08-02,256392,130,5368,9,365,15000,8,0,9,35.79,35.62,1.0
VEH00112,Citroën,C4 Cactus,2017,2017-08-25,Électrique,Personnel,191798,26472,2025-04-15,167479,239,24319,7,730,30000,7,0,7,81.06,32.74,1.0
VEH00113,Nissan,Juke,2012,2012-08-03,Hybride,Personnel,284625,23365,2025-01-11,272703,333,11922,10,365,15000,5,0,12,79.48,91.23,0.83
VEH00114,Renault,Clio,2015,2015-05-03,Diesel,Personnel,260595,29124,2025-01-20,239129,324,21466,9,365,20000,6,0,9,107.33,88.77,1.0
VEH00115,Toyota,Aygo,2020,2020-04-11,Électrique,Personnel,116088,27824,2025-03-19,109145,266,6943,4,730,30000,8,1,4,23.14,36.44,1.0
VEH00116,Peugeot,2008,2020,2020-03-02,Diesel,Personnel,68644,16118,2025-04-20,49472,234,19172,3,365,20000,7,0,4,95.86,64.11,0.75
VEH00117,BMW,X5,2019,2019-01-26,Essence,Personnel,150965,28672,2025-06-12,146806,181,4159,4,365,15000,8,0,5,27.73,49.59,0.8
VEH00118,Skoda,Kodiaq,2023,2023-03-11,Électrique,Personnel,17217,10670,2024-12-26,10583,349,6634,1,730,30000,7,1,1,22.11,47.81,1.0
VEH00119,Hyundai,i20,2014,2014-09-13,Hybride,Professionnel,293231,29085,2024-10-10,287044,426,6187,11,328,12000,6,1,10,51.56,129.88,1.1
VEH00120,Audi,A6,2015,2015-01-12,Électrique,Personnel,163033,18120,2025-08-13,149836,119,13197,7,730,30000,6,0,9,43.99,16.3,0.78
VEH00121,Seat,Ibiza,2018,2018-09-27,Électrique,Personnel,149136,25253,2024-12-27,136101,348,13035,6,730,30000,6,0,6,43.45,47.67,1.0
VEH00122,Hyundai,Santa Fe,2022,2022-03-24,Hybride,Personnel,42397,22341,2025-05-04,28460,220,13937,1,365,15000,8,0,2,92.91,60.27,0.5
VEH00123,Toyota,Corolla,2018,2018-04-10,Électrique,Flotte,140386,23368,2025-05-26,116160,198,24226,5,620,21000,7,0,6,115.36,31.94,0.83
VEH00124,Ford,Kuga,2012,2012-04-26,Diesel,Professionnel,333023,27813,2025-07-25,329314,138,3709,12,328,16000,7,1,12,23.18,42.07,1.0
VEH00125,Seat,Ibiza,2014,2014-02-25,Essence,Personnel,133999,13253,2025-04-14,115178,240,18821,12,365,15000,6,0,10,125.47,65.75,1.2
VEH00126,Renault,Kadjar,2010,2010-07-17,Diesel,Personnel,284404,20253,2025-05-17,279730,207,4674,17,365,20000,5,1,14,23.37,56.71,1.21
VEH00127,Citroën,C3,2014,2014-08-23,Essence,Personnel,130155,12547,2025-04-15,107992,239,22163,8,365,15000,5,0,10,147.75,65.48,0.8
VEH00128,Hyundai,Santa Fe,2018,2018-07-04,Essence,Personnel,105533,17440,2025-06-29,99541,164,5992,7,365,15000,10,0,6,39.95,44.93,1.17
VEH00129,Opel,Mokka,2010,2010-11-17,Essence,Personnel,376765,26843,2024-11-28,370061,377,6704,12,365,15000,3,2,14,44.69,103.29,0.86
VEH00130,Nissan,Micra,2018,2018-06-03,Diesel,Personnel,157336,25237,2025-03-16,138703,269,18633,5,365,20000,7,0,6,93.16,73.7,0.83
VEH00131,Mercedes,Classe B,2010,2010-06-26,Diesel,Professionnel,145631,10213,2025-07-30,122100,133,23531,15,328,16000,6,0,14,147.07,40.55,1.07
VEH00132,Seat,Leon,2023,2023-11-15,Essence,Professionnel,31030,23680,2025-08-29,24612,103,6418,1,328,12000,9,0,1,53.48,31.4,1.0
VEH00133,Volkswagen,Golf,2015,2015-05-17,Essence,Personnel,195338,21049,2025-04-02,185038,252,10300,7,365,15000,4,0,9,68.67,69.04,0.78
VEH00134,Nissan,Juke,2014,2014-02-26,Électrique,Personnel,204749,20059,2025-05-10,188340,214,16409,12,730,30000,7,1,10,54.7,29.32,1.2
VEH00135,Ford,Puma,2022,2022-02-24,Électrique,Personnel,42113,21910,2025-04-24,20372,230,21741,1,730,30000,8,1,2,72.47,31.51,0.5
VEH00136,Mercedes,GLA,2017,2017-10-23,Diesel,Personnel,153464,21962,2024-12-12,136919,363,16545,8,365,20000,7,0,7,82.72,99.45,1.14
VEH00137,Kia,Picanto,2011,2011-11-21,Essence,Personnel,279982,21310,2025-03-13,255720,272,24262,15,365,15000,4,0,13,161.75,74.52,1.15
VEH00138,Volkswagen,Arteon,2020,2020-06-12,Essence,Personnel,88473,20545,2025-11-14,66646,26,21827,3,365,15000,8,1,4,145.51,7.12,0.75
VEH00139,Citroën,C3 Aircross,2015,2015-07-11,Essence,Personnel,265122,29284,2025-07-26,259405,137,5717,9,365,15000,7,0,9,38.11,37.53,1.0
VEH00140,Kia,Sportage,2021,2021-08-07,Essence,Personnel,85825,28049,2024-12-10,67730,365,18095,2,365,15000,8,0,3,120.63,100.0,0.67
VEH00141,Peugeot,Rifter,2020,2020-06-22,Essence,Personnel,75599,19384,2025-02-22,55834,291,19765,3,365,15000,7,0,4,131.77,79.73,0.75
VEH00142,Citroën,C5 Aircross,2018,2018-04-04,Essence,Personnel,86785,14585,2025-08-01,68597,131,18188,5,365,15000,9,0,6,121.25,35.89,0.83
VEH00143,Opel,Corsa,2011,2011-05-13,Hybride,Personnel,313504,23684,2025-05-04,298088,220,15416,16,365,15000,5,1,13,102.77,60.27,1.23
VEH00144,BMW,Série 3,2024,2024-09-21,Diesel,Flotte,0,27260,2024-11-02,0,403,6228,1,310,14000,8,0,0,44.49,130.0,1.0
VEH00145,Citroën,C4,2015,2015-12-08,Essence,Personnel,179543,19338,2025-07-08,174959,155,4584,9,365,15000,7,0,9,30.56,42.47,1.0
VEH00146,Ford,Fiesta,2018,2018-11-06,Hybride,Professionnel,170865,27392,2025-09-13,163256,88,7609,6,328,12000,9,2,6,63.41,26.83,1.0
VEH00147,Seat,Ibiza,2011,2011-01-21,Hybride,Personnel,351023,26899,2025-01-01,342116,343,8907,14,365,15000,5,0,13,59.38,93.97,1.08
VEH00148,Mercedes,GLC,2013,2013-11-13,Essence,Personnel,199636,17746,2025-10-24,175072,47,24564,10,365,15000,7,0,11,163.76,12.88,0.91
VEH00149,BMW,X5,2015,2015-12-28,Diesel,Personnel,177385,19317,2025-09-25,163244,76,14141,7,365,20000,7,2,9,70.7,20.82,0.78
VEH00150,Citroën,C3,2010,2010-05-13,Hybride,Flotte,398146,28164,2025-07-26,390913,137,7233,15,310,10500,7,2,14,68.89,44.19,1.07
VEH00151,Toyota,C-HR,2024,2024-05-16,Diesel,Personnel,0,8759,2025-05-13,0,211,18562,1,365,20000,8,0,0,92.81,57.81,1.0
VEH00152,Opel,Insignia,2020,2020-08-10,Diesel,Professionnel,99477,25586,2024-09-23,93955,443,5522,4,328,16000,6,0,4,34.51,135.06,1.0
VEH00153,Audi,A3,2019,2019-09-07,Diesel,Personnel,105459,19879,2025-07-06,101050,157,4409,5,365,20000,9,1,5,22.04,43.01,1.0
VEH00154,Opel,Corsa,2012,2012-02-13,Hybride,Personnel,245291,20228,2025-02-18,231311,295,13980,12,365,15000,4,0,12,93.2,80.82,1.0
VEH00155,Citroën,C4 Cactus,2015,2015-08-17,Essence,Flotte,206206,22974,2025-01-24,187314,320,18892,8,310,10500,6,0,9,179.92,103.23,0.89
VEH00156,Seat,Arona,2019,2019-06-17,Essence,Professionnel,129231,24702,2025-03-25,108786,260,20445,4,328,12000,7,0,5,170.38,79.27,0.8
VEH00157,Opel,Crossland,2022,2022-12-28,Essence,Professionnel,54674,28619,2025-01-29,37123,315,17551,2,328,12000,7,0,2,146.26,96.04,1.0
VEH00158,Renault,Scenic,2017,2017-03-17,Essence,Professionnel,207430,28611,2024-10-30,192972,406,14458,5,328,12000,5,0,7,120.48,123.78,0.71
VEH00159,Renault,Kadjar,2015,2015-07-05,Hybride,Flotte,194119,21531,2025-05-04,175676,220,18443,11,310,10500,5,0,9,175.65,70.97,1.22
VEH00160,Volkswagen,T-Roc,2015,2015-11-16,Diesel,Personnel,230135,25218,2025-06-23,222461,170,7674,9,365,20000,8,1,9,38.37,46.58,1.0
VEH00161,Nissan,Juke,2019,2019-08-07,Essence,Flotte,81956,16077,2025-02-18,70175,295,11781,4,310,10500,6,0,5,112.2,95.16,0.8
VEH00162,Hyundai,Kona,2015,2015-08-12,Diesel,Personnel,238774,26366,2025-07-06,232781,157,5993,11,365,20000,9,1,9,29.97,43.01,1.22
VEH00163,Citroën,C5 Aircross,2010,2010-05-23,Essence,Personnel,150920,10589,2025-04-18,127426,236,23494,11,365,15000,5,0,14,156.63,64.66,0.79
VEH00164,Hyundai,Tucson,2012,2012-02-20,Hybride,Personnel,327668,27229,2025-07-29,324005,134,3663,12,365,15000,6,1,12,24.42,36.71,1.0
VEH00165,Hyundai,Kona,2011,2011-11-25,Diesel,Flotte,159636,12504,2025-02-22,152461,291,7175,15,310,14000,6,2,13,51.25,93.87,1.15
VEH00166,BMW,X1,2020,2020-01-25,Diesel,Professionnel,51411,10931,2025-02-10,41802,303,9609,5,328,16000,8,0,4,60.06,92.38,1.25
VEH00167,Citroën,C3,2023,2023-07-26,Électrique,Personnel,24284,24232,2024-11-12,12799,393,11485,1,730,30000,10,0,1,38.28,53.84,1.0
